Index,MotorA Measured,MotorA Set
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,93
7,40,93
8,84,93
9,104,93
10,110,0
11,70,0
12,16,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,10,93
19,60,93
20,104,93
21,112,93
22,104,93
23,98,93
24,90,93
25,92,93
26,94,93
27,94,93
28,94,93
29,94,93
30,92,93
31,94,93
32,92,0
33,30,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
