Index,MotorB Measured,MotorB Set
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,100
7,40,100
8,84,100
9,110,100
10,112,0
11,74,0
12,16,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,16,100
19,72,100
20,110,100
21,112,100
22,110,100
23,104,100
24,98,100
25,98,100
26,100,100
27,100,100
28,102,100
29,100,100
30,100,100
31,100,100
32,100,0
33,30,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
